GEOID,1984,euro,bristish
04000US01,17310,15232.8,7616.4
04000US02,32356,28473.28,14236.64
04000US04,21425,18854.0,9427.0
04000US05,15674,13793.12,6896.56
04000US06,25287,22252.56,11126.28
04000US08,25801,22704.88,11352.44
04000US09,29951,26356.88,13178.44
04000US10,25819,22720.72,11360.36
04000US12,19785,17410.8,8705.4
04000US13,19984,17585.920000000002,8792.960000000001
04000US15,28877,25411.76,12705.88
04000US16,21092,18560.96,9280.48
04000US17,23752,20901.76,10450.88
04000US18,22770,20037.6,10018.8
04000US19,19863,17479.44,8739.72
04000US20,24629,21673.52,10836.76
04000US21,17680,15558.4,7779.2
04000US22,18949,16675.12,8337.56
04000US23,20648,18170.24,9085.12
04000US24,29708,26143.04,13071.52
04000US25,26959,23723.920000000002,11861.960000000001
04000US26,22965,20209.2,10104.6
04000US27,24436,21503.68,10751.84
04000US28,15430,13578.4,6789.2
04000US29,20775,18282.0,9141.0
04000US30,19536,17191.68,8595.84
04000US31,21397,18829.36,9414.68
04000US32,25776,22682.88,11341.44
04000US33,25914,22804.32,11402.16
04000US34,27776,24442.88,12221.44
04000US35,20630,18154.4,9077.2
04000US36,22027,19383.76,9691.88
04000US37,20569,18100.72,9050.36
04000US38,20771,18278.48,9139.24
04000US39,23123,20348.24,10174.12
04000US40,21148,18610.24,9305.12
04000US41,21399,18831.12,9415.56
04000US42,20346,17904.48,8952.24
04000US44,21612,19018.56,9509.28
04000US45,20309,17871.920000000002,8935.960000000001
04000US46,19409,17079.920000000002,8539.960000000001
04000US47,16782,14768.16,7384.08
04000US48,23024,20261.12,10130.56
04000US49,23057,20290.16,10145.08
04000US50,22578,19868.64,9934.32
04000US51,26525,23342.0,11671.0
04000US53,25017,22014.96,11007.48
04000US54,16843,14821.84,7410.92
04000US55,20743,18253.84,9126.92
04000US56,23816,20958.08,10479.04
